num_jobs,instance_id,solver,solver_key,total_profit,profit_ratio,completion_rate,utilization,makespan,num_scheduled
20,0,Greedy-by-Profit,greedy_profit,94.22,0.1213237187741437,0.05,1.0,10,1
20,0,Earliest Deadline First,edf,175.31,0.22574040690188,0.35,1.0,8,7
20,0,Shortest Job First,sjf,214.31,0.275959309812001,0.35,1.0,17,7
20,0,Profit Density,profit_density,214.03,0.2755987638423899,0.3,1.0,8,6
20,0,RL Agent (DQN),rl_agent,76.14,0.09804275045068246,0.1,1.0,13,2
20,1,Greedy-by-Profit,greedy_profit,173.23000000000002,0.21273486430062627,0.1,1.0,18,2
20,1,Earliest Deadline First,edf,108.00999999999999,0.1326415326046911,0.25,1.0,8,5
20,1,Shortest Job First,sjf,171.42000000000002,0.21051209627901263,0.3,1.0,10,6
20,1,Profit Density,profit_density,147.12,0.18067051455237623,0.25,1.0,8,5
20,1,RL Agent (DQN),rl_agent,125.93,0.15464816406729703,0.1,1.0,8,2
20,2,Greedy-by-Profit,greedy_profit,164.39,0.22063402587641595,0.1,1.0,13,2
20,2,Earliest Deadline First,edf,96.71000000000001,0.1297981424813443,0.3,1.0,8,6
20,2,Shortest Job First,sjf,190.51,0.2556906640897622,0.35,1.0,9,7
20,2,Profit Density,profit_density,217.06,0.29132442153862675,0.3,1.0,11,6
20,2,RL Agent (DQN),rl_agent,203.23000000000002,0.2727626563590487,0.3,1.0,12,6
20,3,Greedy-by-Profit,greedy_profit,162.32,0.20865094157722217,0.1,1.0,10,2
20,3,Earliest Deadline First,edf,117.64999999999999,0.15123079889453048,0.25,1.0,8,5
20,3,Shortest Job First,sjf,179.9,0.23124879490969857,0.3,1.0,9,6
20,3,Profit Density,profit_density,170.79999999999998,0.21955138505045307,0.25,1.0,8,5
20,3,RL Agent (DQN),rl_agent,170.79999999999998,0.21955138505045307,0.25,1.0,8,5
20,4,Greedy-by-Profit,greedy_profit,79.23,0.09395790097835754,0.05,1.0,9,1
20,4,Earliest Deadline First,edf,159.79000000000002,0.18949303290839017,0.25,1.0,9,5
20,4,Shortest Job First,sjf,128.91,0.15287281351912244,0.25,1.0,8,5
20,4,Profit Density,profit_density,195.69,0.23206640972428105,0.2,1.0,10,4
20,4,RL Agent (DQN),rl_agent,110.22,0.1307085680403202,0.1,1.0,12,2
20,5,Greedy-by-Profit,greedy_profit,159.76,0.20730821135679434,0.1,1.0,11,2
20,5,Earliest Deadline First,edf,140.57999999999998,0.18241980691373402,0.35,1.0,9,7
20,5,Shortest Job First,sjf,181.74,0.23582995951417005,0.35,1.0,11,7
20,5,Profit Density,profit_density,176.10000000000002,0.22851136717533482,0.2,1.0,9,4
20,5,RL Agent (DQN),rl_agent,176.10000000000002,0.22851136717533482,0.2,1.0,9,4
20,6,Greedy-by-Profit,greedy_profit,85.88,0.14651789674821714,0.05,1.0,8,1
20,6,Earliest Deadline First,edf,153.2,0.2613710035145187,0.3,1.0,14,6
20,6,Shortest Job First,sjf,179.88,0.3068891391135224,0.4,1.0,14,8
20,6,Profit Density,profit_density,195.20999999999998,0.3330433002354386,0.35,1.0,14,7
20,6,RL Agent (DQN),rl_agent,143.87,0.24545330467123896,0.3,1.0,14,6
20,7,Greedy-by-Profit,greedy_profit,130.03,0.17974592554706184,0.1,1.0,10,2
20,7,Earliest Deadline First,edf,137.62,0.19023790105196225,0.35,1.0,8,7
20,7,Shortest Job First,sjf,124.0,0.17141040350561923,0.35,1.0,8,7
20,7,Profit Density,profit_density,186.77,0.2581800085705202,0.3,1.0,10,6
20,7,RL Agent (DQN),rl_agent,186.77,0.2581800085705202,0.3,1.0,10,6
20,8,Greedy-by-Profit,greedy_profit,172.68,0.17444891196734894,0.1,1.0,17,2
20,8,Earliest Deadline First,edf,283.4,0.28630311357161614,0.4,1.0,17,8
20,8,Shortest Job First,sjf,179.1,0.18093467763118015,0.25,1.0,8,5
20,8,Profit Density,profit_density,262.13,0.2648152263956519,0.35,1.0,11,7
20,8,RL Agent (DQN),rl_agent,172.68,0.17444891196734894,0.1,1.0,17,2
20,9,Greedy-by-Profit,greedy_profit,81.93,0.12860641069914924,0.05,1.0,10,1
20,9,Earliest Deadline First,edf,119.08,0.186921169120648,0.25,1.0,9,5
20,9,Shortest Job First,sjf,84.49,0.1326248704988541,0.25,1.0,8,5
20,9,Profit Density,profit_density,155.6,0.24424700970081312,0.2,1.0,8,4
20,9,RL Agent (DQN),rl_agent,155.6,0.24424700970081312,0.2,1.0,8,4
20,10,Greedy-by-Profit,greedy_profit,98.96,0.13862467956350594,0.05,1.0,8,1
20,10,Earliest Deadline First,edf,168.07,0.23543502318349277,0.4,1.0,8,8
20,10,Shortest Job First,sjf,171.84,0.24071609676831918,0.35,1.0,8,7
20,10,Profit Density,profit_density,187.92000000000002,0.2632412063821144,0.35,1.0,8,7
20,10,RL Agent (DQN),rl_agent,99.07,0.13877876924369983,0.2,1.0,8,4
20,11,Greedy-by-Profit,greedy_profit,160.89,0.22470042736236412,0.1,1.0,13,2
20,11,Earliest Deadline First,edf,173.4,0.24217200636853717,0.3,1.0,9,6
20,11,Shortest Job First,sjf,142.35000000000002,0.1988072958855898,0.3,1.0,9,6
20,11,Profit Density,profit_density,231.75000000000003,0.3236641434596799,0.3,1.0,14,6
20,11,RL Agent (DQN),rl_agent,213.78,0.2985670791318678,0.25,1.0,13,5
20,12,Greedy-by-Profit,greedy_profit,169.8,0.21999948174444822,0.1,1.0,17,2
20,12,Earliest Deadline First,edf,87.96000000000001,0.1139643958435905,0.25,1.0,8,5
20,12,Shortest Job First,sjf,119.63000000000001,0.154997279158353,0.3,1.0,8,6
20,12,Profit Density,profit_density,146.36999999999998,0.18964266279702519,0.25,1.0,8,5
20,12,RL Agent (DQN),rl_agent,103.76,0.13443549014018816,0.2,1.0,8,4
20,13,Greedy-by-Profit,greedy_profit,86.01,0.11065510498147386,0.05,1.0,9,1
20,13,Earliest Deadline First,edf,87.92,0.11311239193083573,0.25,1.0,10,5
20,13,Shortest Job First,sjf,89.08,0.11460477562783039,0.25,1.0,10,5
20,13,Profit Density,profit_density,187.79000000000002,0.24159890901605602,0.15,1.0,14,3
20,13,RL Agent (DQN),rl_agent,187.79000000000002,0.24159890901605602,0.15,1.0,14,3
20,14,Greedy-by-Profit,greedy_profit,98.43,0.09890275516971124,0.05,1.0,10,1
20,14,Earliest Deadline First,edf,121.34,0.12192279094069654,0.25,1.0,8,5
20,14,Shortest Job First,sjf,136.38,0.13703502743112075,0.3,1.0,8,6
20,14,Profit Density,profit_density,150.65,0.15137356564377727,0.25,1.0,8,5
20,14,RL Agent (DQN),rl_agent,96.72,0.09718454211129199,0.05,1.0,8,1
20,15,Greedy-by-Profit,greedy_profit,94.38,0.111917467093561,0.05,1.0,11,1
20,15,Earliest Deadline First,edf,150.59,0.17857227558401517,0.25,1.0,9,5
20,15,Shortest Job First,sjf,150.79,0.17880943910826513,0.3,1.0,8,6
20,15,Profit Density,profit_density,187.31,0.22211549863630972,0.25,1.0,8,5
20,15,RL Agent (DQN),rl_agent,224.06,0.2656942962172418,0.25,1.0,17,5
20,16,Greedy-by-Profit,greedy_profit,85.79,0.10815274258411811,0.05,1.0,11,1
20,16,Earliest Deadline First,edf,200.8,0.25314221600292475,0.4,1.0,8,8
20,16,Shortest Job First,sjf,218.21,0.2750904529581584,0.4,1.0,11,8
20,16,Profit Density,profit_density,206.11,0.2598363652408507,0.35,1.0,11,7
20,16,RL Agent (DQN),rl_agent,105.22,0.13264752972025767,0.1,1.0,13,2
20,17,Greedy-by-Profit,greedy_profit,92.29,0.10497997997998,0.05,1.0,8,1
20,17,Earliest Deadline First,edf,146.49,0.16663254163254165,0.3,1.0,8,6
20,17,Shortest Job First,sjf,170.05,0.19343206843206848,0.35,1.0,10,7
20,17,Profit Density,profit_density,185.7,0.21123396123396124,0.3,1.0,10,6
20,17,RL Agent (DQN),rl_agent,185.7,0.21123396123396124,0.3,1.0,10,6
20,18,Greedy-by-Profit,greedy_profit,90.71,0.10730466670609806,0.05,1.0,8,1
20,18,Earliest Deadline First,edf,176.41,0.20868279410894894,0.35,1.0,14,7
20,18,Shortest Job First,sjf,169.73999999999998,0.2007925711243863,0.35,1.0,14,7
20,18,Profit Density,profit_density,200.26999999999998,0.2369077896729165,0.25,1.0,14,5
20,18,RL Agent (DQN),rl_agent,110.38999999999999,0.13058496480747617,0.15,1.0,10,3
20,19,Greedy-by-Profit,greedy_profit,165.39,0.18519679749174175,0.1,1.0,10,2
20,19,Earliest Deadline First,edf,112.03,0.12544650355523207,0.25,1.0,8,5
20,19,Shortest Job First,sjf,249.60999999999999,0.2795028273892839,0.35,1.0,9,7
20,19,Profit Density,profit_density,249.60999999999999,0.2795028273892839,0.35,1.0,9,7
20,19,RL Agent (DQN),rl_agent,261.21,0.29249202172330774,0.35,1.0,10,7
20,20,Greedy-by-Profit,greedy_profit,150.74,0.20845779400376147,0.1,1.0,10,2
20,20,Earliest Deadline First,edf,233.07,0.322311649518752,0.35,1.0,11,7
20,20,Shortest Job First,sjf,194.44,0.2688903639783161,0.35,1.0,11,7
20,20,Profit Density,profit_density,251.02999999999997,0.3471484677508573,0.3,1.0,11,6
20,20,RL Agent (DQN),rl_agent,230.01,0.3180799867241951,0.25,1.0,10,5
20,21,Greedy-by-Profit,greedy_profit,138.27,0.16473069087529935,0.1,1.0,8,2
20,21,Earliest Deadline First,edf,147.82000000000002,0.17610827167995047,0.3,1.0,9,6
20,21,Shortest Job First,sjf,167.41,0.19944720445095726,0.3,1.0,9,6
20,21,Profit Density,profit_density,163.13,0.19434814205892514,0.2,1.0,8,4
20,21,RL Agent (DQN),rl_agent,176.93,0.21078904416407546,0.2,1.0,12,4
20,22,Greedy-by-Profit,greedy_profit,81.33,0.12103579135352335,0.05,1.0,11,1
20,22,Earliest Deadline First,edf,149.2,0.22204033038172488,0.35,1.0,8,7
20,22,Shortest Job First,sjf,145.52,0.2165637324205671,0.4,1.0,9,8
20,22,Profit Density,profit_density,210.69,0.31355011533596255,0.25,1.0,11,5
20,22,RL Agent (DQN),rl_agent,112.84,0.16792916139593725,0.1,1.0,12,2
20,23,Greedy-by-Profit,greedy_profit,98.18,0.11433162926647492,0.05,1.0,8,1
20,23,Earliest Deadline First,edf,119.41999999999999,0.1390658297718724,0.3,1.0,8,6
20,23,Shortest Job First,sjf,222.60000000000002,0.2592200109463976,0.3,1.0,15,6
20,23,Profit Density,profit_density,154.47,0.17988191864730474,0.25,1.0,8,5
20,23,RL Agent (DQN),rl_agent,75.13,0.0874896649703632,0.1,1.0,8,2
20,24,Greedy-by-Profit,greedy_profit,136.93,0.1685624246005367,0.1,1.0,11,2
20,24,Earliest Deadline First,edf,148.48999999999998,0.1827929192210158,0.3,1.0,8,6
20,24,Shortest Job First,sjf,141.10000000000002,0.1736957431617303,0.3,1.0,11,6
20,24,Profit Density,profit_density,172.88,0.21281729325159413,0.25,1.0,9,5
20,24,RL Agent (DQN),rl_agent,110.14999999999999,0.13559593273752366,0.2,1.0,8,4
20,25,Greedy-by-Profit,greedy_profit,94.73,0.12880899609752117,0.05,1.0,11,1
20,25,Earliest Deadline First,edf,124.66,0.16950627524033557,0.3,1.0,8,6
20,25,Shortest Job First,sjf,135.14,0.18375644180955356,0.3,1.0,8,6
20,25,Profit Density,profit_density,178.19,0.24229362413825922,0.25,1.0,12,5
20,25,RL Agent (DQN),rl_agent,79.09,0.1075425261411691,0.1,1.0,8,2
20,26,Greedy-by-Profit,greedy_profit,69.4,0.10745196401752675,0.05,1.0,9,1
20,26,Earliest Deadline First,edf,174.11999999999995,0.2695898555436852,0.3,1.0,8,6
20,26,Shortest Job First,sjf,122.74,0.1900382429900754,0.35,1.0,8,7
20,26,Profit Density,profit_density,175.54999999999998,0.2718039233901559,0.25,1.0,8,5
20,26,RL Agent (DQN),rl_agent,178.73,0.27672751482496477,0.3,1.0,9,6
20,27,Greedy-by-Profit,greedy_profit,173.57999999999998,0.2224101479915433,0.1,1.0,10,2
20,27,Earliest Deadline First,edf,124.67999999999999,0.1597539880837978,0.3,1.0,9,6
20,27,Shortest Job First,sjf,121.81,0.15607662246140047,0.3,1.0,8,6
20,27,Profit Density,profit_density,211.12,0.27051060285732587,0.2,1.0,10,4
20,27,RL Agent (DQN),rl_agent,211.12,0.27051060285732587,0.2,1.0,10,4
20,28,Greedy-by-Profit,greedy_profit,93.91,0.11191086218196981,0.05,1.0,10,1
20,28,Earliest Deadline First,edf,104.06,0.1240064350831198,0.35,1.0,9,7
20,28,Shortest Job First,sjf,130.8,0.15587201334683903,0.35,1.0,9,7
20,28,Profit Density,profit_density,200.42,0.23883691831019477,0.25,1.0,12,5
20,28,RL Agent (DQN),rl_agent,122.33,0.14577846630518973,0.1,1.0,8,2
20,29,Greedy-by-Profit,greedy_profit,165.35,0.16381343002635282,0.1,1.0,14,2
20,29,Earliest Deadline First,edf,127.41,0.12622600011888488,0.3,1.0,8,6
20,29,Shortest Job First,sjf,140.73999999999998,0.1394321266520042,0.3,1.0,8,6
20,29,Profit Density,profit_density,219.14999999999998,0.21711347559888247,0.2,1.0,16,4
20,29,RL Agent (DQN),rl_agent,155.57,0.15412431393528703,0.15,1.0,16,3
50,0,Greedy-by-Profit,greedy_profit,165.89999999999998,0.08797607305354926,0.04,1.0,20,2
50,0,Earliest Deadline First,edf,245.43,0.13015049794775527,0.2,1.0,12,10
50,0,Shortest Job First,sjf,220.93,0.1171582508723366,0.2,1.0,12,10
50,0,Profit Density,profit_density,313.51,0.16625303594344926,0.18,1.0,12,9
50,0,RL Agent (DQN),rl_agent,205.12,0.10877427429019908,0.12,1.0,15,6
50,1,Greedy-by-Profit,greedy_profit,197.93,0.09773693540661584,0.04,1.0,14,2
50,1,Earliest Deadline First,edf,227.04000000000002,0.1121113212485124,0.2,1.0,12,10
50,1,Shortest Job First,sjf,240.57999999999998,0.11879731177751546,0.22,1.0,13,11
50,1,Profit Density,profit_density,405.71,0.2003377560946704,0.18,1.0,19,9
50,1,RL Agent (DQN),rl_agent,302.1,0.1491756084794556,0.1,1.0,19,5
50,2,Greedy-by-Profit,greedy_profit,188.55,0.08890764544451464,0.04,1.0,12,2
50,2,Earliest Deadline First,edf,227.89,0.10745777417316595,0.2,1.0,13,10
50,2,Shortest Job First,sjf,203.36999999999998,0.09589577223044785,0.22,1.0,12,11
50,2,Profit Density,profit_density,286.78999999999996,0.13523109857879795,0.18,1.0,13,9
50,2,RL Agent (DQN),rl_agent,226.26999999999998,0.10669388986863074,0.1,1.0,14,5
50,3,Greedy-by-Profit,greedy_profit,163.57999999999998,0.08196663810511652,0.04,1.0,16,2
50,3,Earliest Deadline First,edf,234.51999999999998,0.11751324103442919,0.2,1.0,12,10
50,3,Shortest Job First,sjf,257.53,0.12904308785432606,0.22,1.0,12,11
50,3,Profit Density,profit_density,328.59000000000003,0.16464982036288203,0.22,1.0,13,11
50,3,RL Agent (DQN),rl_agent,177.22,0.08880136694576812,0.06,1.0,15,3
50,4,Greedy-by-Profit,greedy_profit,195.16,0.09765079682770005,0.04,1.0,13,2
50,4,Earliest Deadline First,edf,216.08,0.10811838582972652,0.22,1.0,13,11
50,4,Shortest Job First,sjf,226.42000000000002,0.11329213679917938,0.22,1.0,13,11
50,4,Profit Density,profit_density,317.46,0.1588451627429886,0.16,1.0,13,8
50,4,RL Agent (DQN),rl_agent,270.76,0.13547822171074023,0.14,1.0,15,7
50,5,Greedy-by-Profit,greedy_profit,181.42000000000002,0.09000615189220297,0.04,1.0,14,2
50,5,Earliest Deadline First,edf,192.23000000000002,0.09536921275624616,0.2,1.0,12,10
50,5,Shortest Job First,sjf,212.89000000000001,0.10561905895894108,0.22,1.0,12,11
50,5,Profit Density,profit_density,332.36,0.16489055585322776,0.16,1.0,14,8
50,5,RL Agent (DQN),rl_agent,287.16,0.14246591653271418,0.16,1.0,13,8
50,6,Greedy-by-Profit,greedy_profit,166.96,0.07428533291806635,0.04,1.0,18,2
50,6,Earliest Deadline First,edf,279.67,0.12443327178483239,0.22,1.0,12,11
50,6,Shortest Job First,sjf,269.31,0.11982380814664859,0.2,1.0,12,10
50,6,Profit Density,profit_density,290.72,0.1293497363796134,0.2,1.0,12,10
50,6,RL Agent (DQN),rl_agent,266.01,0.11835554270205335,0.14,1.0,15,7
50,7,Greedy-by-Profit,greedy_profit,176.39,0.08658197775443487,0.04,1.0,13,2
50,7,Earliest Deadline First,edf,198.19,0.09728262470180536,0.22,1.0,12,11
50,7,Shortest Job First,sjf,217.01000000000005,0.1065205226627922,0.22,1.0,12,11
50,7,Profit Density,profit_density,364.58000000000004,0.17895604881065746,0.2,1.0,15,10
50,7,RL Agent (DQN),rl_agent,152.48000000000002,0.07484562598784643,0.06,1.0,12,3
50,8,Greedy-by-Profit,greedy_profit,191.88,0.09584080476706608,0.04,1.0,13,2
50,8,Earliest Deadline First,edf,236.62,0.11818767575559296,0.22,1.0,12,11
50,8,Shortest Job First,sjf,277.48999999999995,0.13860154739844258,0.22,1.0,12,11
50,8,Profit Density,profit_density,286.48,0.14309189988362045,0.2,1.0,12,10
50,8,RL Agent (DQN),rl_agent,243.49,0.12161912420644633,0.1,1.0,17,5
50,9,Greedy-by-Profit,greedy_profit,164.25,0.08675374612447115,0.04,1.0,18,2
50,9,Earliest Deadline First,edf,178.04,0.09403736353120756,0.2,1.0,12,10
50,9,Shortest Job First,sjf,178.93,0.09450744471264307,0.2,1.0,12,10
50,9,Profit Density,profit_density,296.6,0.15665851507164777,0.18,1.0,13,9
50,9,RL Agent (DQN),rl_agent,266.9,0.14097153632037351,0.14,1.0,14,7
50,10,Greedy-by-Profit,greedy_profit,192.39,0.09227603672048115,0.04,1.0,12,2
50,10,Earliest Deadline First,edf,209.46,0.1004633226855449,0.18,1.0,13,9
50,10,Shortest Job First,sjf,221.67,0.10631960631960631,0.16,1.0,12,8
50,10,Profit Density,profit_density,320.46999999999997,0.1537070611144685,0.16,1.0,14,8
50,10,RL Agent (DQN),rl_agent,279.03000000000003,0.13383118938674496,0.1,1.0,16,5
50,11,Greedy-by-Profit,greedy_profit,178.48000000000002,0.09699367432558746,0.04,1.0,14,2
50,11,Earliest Deadline First,edf,180.0,0.09781970741038627,0.2,1.0,12,10
50,11,Shortest Job First,sjf,225.98,0.1228072082255505,0.22,1.0,13,11
50,11,Profit Density,profit_density,321.82,0.17489076799339173,0.18,1.0,15,9
50,11,RL Agent (DQN),rl_agent,252.41,0.13717040193030888,0.12,1.0,15,6
50,12,Greedy-by-Profit,greedy_profit,153.68,0.08392631872122679,0.04,1.0,13,2
50,12,Earliest Deadline First,edf,232.04,0.12671956660641243,0.2,1.0,12,10
50,12,Shortest Job First,sjf,253.66000000000003,0.13852648364670997,0.24,1.0,13,12
50,12,Profit Density,profit_density,294.44,0.16079688498358935,0.2,1.0,12,10
50,12,RL Agent (DQN),rl_agent,203.51,0.1111390234445397,0.1,1.0,12,5
50,13,Greedy-by-Profit,greedy_profit,191.95999999999998,0.10660061974521584,0.04,1.0,14,2
50,13,Earliest Deadline First,edf,214.93,0.11935648677765807,0.18,1.0,13,9
50,13,Shortest Job First,sjf,292.69000000000005,0.162538734075991,0.2,1.0,13,10
50,13,Profit Density,profit_density,325.54999999999995,0.18078678765396444,0.18,1.0,13,9
50,13,RL Agent (DQN),rl_agent,300.08,0.16664260248564478,0.16,1.0,12,8
50,14,Greedy-by-Profit,greedy_profit,194.78,0.08992280986851826,0.04,1.0,17,2
50,14,Earliest Deadline First,edf,246.84,0.11395700989806473,0.22,1.0,13,11
50,14,Shortest Job First,sjf,233.32,0.10771531984044913,0.22,1.0,15,11
50,14,Profit Density,profit_density,297.48,0.13733564780617524,0.22,1.0,13,11
50,14,RL Agent (DQN),rl_agent,217.05,0.10020405525188361,0.12,1.0,13,6
50,15,Greedy-by-Profit,greedy_profit,157.54,0.06998045486851458,0.04,1.0,15,2
50,15,Earliest Deadline First,edf,257.61,0.11443230277185502,0.18,1.0,12,9
50,15,Shortest Job First,sjf,268.84,0.11942075337597725,0.22,1.0,13,11
50,15,Profit Density,profit_density,329.82000000000005,0.14650852878464823,0.22,1.0,16,11
50,15,RL Agent (DQN),rl_agent,214.1,0.0951048329779673,0.1,1.0,14,5
